"Source:","C:\Users\cw\Desktop\capstone\repo\Wearable-EEG-Sensor\PCB_design_files\P2.0\P2.0.kicad_sch"
"Date:","2024-03-10 12:49:53 PM"
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","58"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Manufacturer","Part Number","Puchasing"
"1","1","AE1","Antenna_Chip","Device:Antenna_Chip","Library:XDCR_2450AT18B100E","https://www.johansontechnology.com/datasheets/2450AT18B100/2450AT18B100.pdf","","","","",""
"2","1","BT1","BHSD-1225-SM","Device:Battery_Cell","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","n/a","","","","",""
"3","3","C1, C2, C7","10uF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://www.yageo.com/upload/media/product/app/datasheet/mlcc/upy-gphc_x5r_4v-to-50v.pdf","","CAP CER 10uF 6.3V 20% 0402 SMD","YAGEO","CC0402MPX5R5BB106",""
"4","9","C3, C4, C5, C12, C13, C14, C22, C23, C26","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","","CAP CER 0.1uF 16V 10% 0402 SMD","TDK Corporation","C1005X7R1C104K050BC",""
"5","1","C6","10nF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf","","CAP CER 10nF 25V 10% 0402 SMD","TDK Corporation","CGA2B2X7R1E103K050BA",""
"6","1","C8","2.2uF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","","CAP CER 2.2uF 6.3V 10% 0402 SMD","TDK Corporation","C1005X5R0J225K050BC",""
"7","1","C9","33uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","","CAP CER 33uF 6.3V 20% 0805 SMD","TDK Corporation","C2012X5R0J336M125AC",""
"8","4","C10, C11, C24, C25","1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","","CAP CER 1uF 25V 10% 0402 SMD","TDK Corporation","C1005X5R1E105K050BC",""
"9","1","C15","1.2pF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf","","CAP CER 1.2pF 50V 10% 0402 SMD","YAGEO","CC0402BRNPO9BN1R2",""
"10","2","C16, C18","12pF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf","","CAP CER 12pF 50V 5% 0402 SMD","TDK Corporation","CGA2B2C0G1H120J050BA",""
"11","1","C17","100pF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf","","CAP CER 100pF 50V 5% 0402 SMD","TDK Corporation","CGA2B2C0G1H101J050BA",""
"12","1","C19","1uF","Device:C","Capacitor_SMD:C_0603_1608Metric","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","","CAP CER 1uF 10V 10% 0603 SMD","TDK Corporation","C1608X5R1A105K080AC",""
"13","1","C20","4.7uF","Device:C","Capacitor_SMD:C_0603_1608Metric","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","","CAP CER 4.7uF 25V 10% 0603 SMD","TDK Corporation","C1608X5R1E475K080AC",""
"14","1","D1","LED","Device:LED","LED_SMD:LED_0603_1608Metric","https://www.we-online.com/components/products/datasheet/150060VS75000.pdf","","","","",""
"15","1","J1","EEG_IN","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","n/a","","","","",""
"16","1","J2","20021121-00008C4LF","Connector_Generic:Conn_02x04_Counter_Clockwise","20021121_00008C4LF:AMPHENOL_20021121-00008C4LF","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2587/Minitek%20127_Catalog.pdf","","","","",""
"17","1","L1","2.2uH","Device:L","Inductor_SMD:L_0603_1608Metric","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1817/MBKK1608T2R2M_SS.pdf","","INDUCTOR 2.2uH 750mA 345mOhm 0603 SMD","Taiyo Yuden","MBKK1608T2R2M",""
"18","1","L2","3.3nH","Device:L","Inductor_SMD:L_0402_1005Metric","https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg1005s_en.pdf","","INDUCTOR 3.3nH 800mA 200mOhm 0402 SMD","TDK Corporation","MLG1005S3N3BT000",""
"19","1","L3","2.7nH","Device:L","Inductor_SMD:L_0402_1005Metric","https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg1005s_en.pdf","","INDUCTOR 2.7nH 800mA 150mOhm 0402 SMD","TDK Corporation","MLG1005S2N7ST000",""
"20","2","R1, R2","68k","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","RES 68k OHM 1/16W 1% 0402 SMD","Stackpole Electronics Inc","RMCF0402FT68K0",""
"21","1","R3","8.2k","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","RES 8.2k OHM 1/16W 1% 0402 SMD","Stackpole Electronics Inc","RMCF0402FT8K20",""
"22","5","R4, R8, R9, R16, R17","100k","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","RES 100k OHM 1/16W 1% 0402 SMD","Stackpole Electronics Inc","RMCF0402FT100K",""
"23","2","R5, R7","1k","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","RES 1k OHM 1/16W 1% 0402 SMD","Stackpole Electronics Inc","RMCF0402FT1K00",""
"24","1","R6","20k","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","RES 20k OHM 1/16W 1% 0402 SMD","Stackpole Electronics Inc","RMCF0402FT20K0",""
"25","1","R10","604","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","RES 604 OHM 1/16W 1% 0402 SMD","Stackpole Electronics Inc","RMCF0402FT604R",""
"26","1","R11","16k","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","RES 16k OHM 1/16W 1% 0402 SMD","Stackpole Electronics Inc","RMCF0402FT16K0",""
"27","1","R12","2.49k","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","RES 2.49k OHM 1/16W 1% 0402 SMD","Stackpole Electronics Inc","RMCF0402FT2K49",""
"28","1","R13","49.9k","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","RES 49.9k OHM 1/16W 1% 0402 SMD","Stackpole Electronics Inc","RMCF0402FT49K9",""
"29","2","R14, R20","10k","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","RES 10k OHM 1/16W 1% 0402 SMD","Stackpole Electronics Inc","RMCF0402FT10K0",""
"30","1","R18","1.1k","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","RES 1.1k OHM 1/16W 1% 0402 SMD","Stackpole Electronics Inc","RMCF0402FT1K10",""
"31","1","R19","4.75k","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","RES 4.75k OHM 1/16W 1% 0402 SMD","Stackpole Electronics Inc","RMCF0402FT4K75",""
"32","1","U1","INA819IDRGR","INA819IDRGR:INA819IDRGR","Package_SON:WSON-8-1EP_3x3mm_P0.5mm_EP1.45x2.4mm","https://www.ti.com/lit/ds/symlink/ina819.pdf","","IC OPAMP INSTRUMENTATION 8-WSON","Texas Instruments","INA819IDRGR",""
"33","1","U2","TLV9102IDSGR","My_Library:TLV9102","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm","https://www.ti.com/lit/ds/symlink/tlv9101.pdf?ts=1709851187168&ref_url=https%253A%252F%252Fwww.google.com%252F","","IC OPAMP DUAL 8-WSON","Texas Instruments","TLV9102IDSGR",""
"34","1","U3","TPS61094","My_Library:TPS61094","Package_SON:WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65","https://www.ti.com/lit/ds/symlink/tps61094.pdf?ts=1709168053866&ref_url=https%253A%252F%252Fwww.google.com%252F","","IC BOOST CONV 12-WSON","Texas Instruments","TPS61094",""
"35","1","U4","TPS60400","Amplifier_Current:AD8211","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/tps60400.pdf?ts=1709088547524&ref_url=https%253A%252F%252Fwww.google.com%252F","","IC CHARGE PUMP 5-SOT-23","Texas Instruments","TPS60400DBV","https://www.digikey.com/en/products/detail/texas-instruments/TPS60400DBVR/1672052"
"36","1","U5","NRF52832-QFAA-R","NRF52832_QFAA:NRF52832-QFAA-R","Library:QFN-48_NOR","NRF52832-QFAA-R","","","","",""
"37","1","Y1","32MHz","Device:Crystal_GND24","ECS_320_8_37CKM:XTAL_ECS-320-8-37CKM","https://ecsxtal.com/store/pdf/ecx-1637.pdf","","","","",""
